Symbol,Spot,ATM,Expiry,Call Premium,Put Premium
NIFTY,25424.65,25400,2026-03-02,0,0
BANKNIFTY,61047.3,61000,2026-03-30,0,0
FINNIFTY,28295.1,28300,2026-03-30,0,0
SENSEX,82225.92,82200,2026-03-05,0,0
